,audio_time,sampling_rate,feature_extraction,label,description
10,"[ 0.00022888  0.00022888  0.00032043 ... -0.00030518 -0.00019836
 -0.00028992]",22050,"[[-14.04599954 -10.28713912  -0.07106193 ...   1.46810415   0.77825676
   -1.11416698]
 [-14.00291136 -10.99541004  -0.24421674 ...   2.60244196   1.60736955
   -0.30641854]
 [-14.02058136 -11.0224013   -0.9171459  ...   2.05181326   0.52520494
   -0.52150649]
 ...
 [-13.9483504  -10.86411142   0.54240972 ...   1.69146826   1.29418928
   -0.45244649]
 [-14.13421924 -11.74299461   0.56160045 ...   1.07187976   1.24050884
   -0.8850058 ]
 [-14.19305561 -11.31963646   2.03534982 ...   0.32283871   0.89473844
   -1.02698436]]",0,กระชาย
11,"[-1.2207031e-04 -1.8310547e-04 -6.1035156e-05 ... -1.6784668e-04
 -1.3732910e-04 -1.3732910e-04]",22050,"[[-13.93783834 -10.52677764   0.72618732 ...   1.84988894   0.3271816
   -0.1779662 ]
 [-13.98593502 -10.25121878   2.04953971 ...  -0.17739431  -0.4130071
   -0.52649165]
 [-13.94374243  -9.89704441  -0.18589815 ...  -0.36807028  -1.33196797
   -0.86114303]
 ...
 [-14.19598813  -9.92968159   0.10395172 ...   0.80391028   0.66246412
   -0.38766963]
 [-14.0236211  -10.63868896   1.54109424 ...   0.42792918  -0.8648311
   -1.19345235]
 [-14.06083105  -9.93057348   0.70203198 ...   1.251242    -0.58200326
   -0.81391986]]",0,กระชาย
12,"[-1.0681152e-04 -1.0681152e-04 -1.5258789e-04 ... -6.1035156e-05
 -1.0681152e-04  6.1035156e-05]",22050,"[[-14.04768238 -10.55974934   1.46476068 ...  -0.48687935   0.03664541
   -0.23203038]
 [-13.65844073 -11.68540293   1.015774   ...  -0.19912681   0.44238734
    0.5256018 ]
 [-13.79242274 -11.52676549   0.97262138 ...   0.05966065  -0.70161568
   -1.07192977]
 ...
 [-13.9784462  -11.36703556   0.35523341 ...   0.33643324   0.99391933
   -0.80600674]
 [-14.08189289 -11.8323685    0.29524202 ...   0.72831628   0.45522183
   -1.01371665]
 [-13.80192723 -12.4021585    0.97242384 ...  -0.35143721  -1.28963523
   -0.69850669]]",0,กระชาย
13,"[ 1.5258789e-05 -3.0517578e-05  6.1035156e-05 ... -1.2207031e-04
 -4.5776367e-05 -1.8310547e-04]",22050,"[[-1.42254206e+01 -1.17672091e+01  4.93160558e-01 ...  4.04020777e-01
  -2.04256171e-01 -1.23340488e+00]
 [-1.39664600e+01 -1.18067722e+01  1.08926893e+00 ...  1.58401922e+00
   1.58741302e+00  1.14701847e-02]
 [-1.41536120e+01 -9.67821045e+00  2.96295006e+00 ...  5.30613440e-01
   1.42879947e+00 -2.49026935e-01]
 ...
 [-1.38836468e+01 -1.21913191e+01  1.44400254e+00 ... -4.54325741e-01
  -1.66565869e-01  1.96169266e-01]
 [-1.36272593e+01 -1.18920975e+01  7.12997740e-01 ... -1.40275140e-01
   2.03183917e-01 -4.16902562e-01]
 [-1.38820230e+01 -1.07689616e+01  1.10071125e+00 ... -3.52812114e-01
  -2.18290374e-01 -1.67882947e-01]]",0,กระชาย
14,"[ 1.5258789e-05 -3.0517578e-05  4.5776367e-05 ... -2.7465820e-04
 -1.8310547e-04 -3.5095215e-04]",22050,"[[-13.89516321 -10.53424211   0.71225463 ...   1.5536461    0.03426069
   -0.94988429]
 [-13.85945662 -11.21342162  -1.37525738 ...   0.42056951   0.02227862
   -1.26130994]
 [-13.83131089 -10.7739643    0.59123508 ...   1.35465958   0.36078703
    0.12086545]
 ...
 [-14.14201083  -9.35920012   3.81558243 ...   0.51917065  -0.05313977
    0.50926232]
 [-14.02490441 -10.7453728    1.10970421 ...  -0.14470943  -0.42429981
   -1.19149733]
 [-13.95966519 -11.23976962  -0.92588291 ...  -1.13315689  -1.20644073
   -1.57573144]]",0,กระชาย
15,"[-2.5939941e-04 -2.2888184e-04 -2.5939941e-04 ... -3.0517578e-05
 -1.6784668e-04 -1.0681152e-04]",22050,"[[-1.38162956e+01 -1.03489562e+01  3.18302033e+00 ...  5.87636103e-01
   8.77736732e-01 -1.49460940e-01]
 [-1.37990214e+01 -1.10917791e+01  2.93006656e+00 ...  8.42334248e-02
  -6.28131310e-02 -1.61932823e-01]
 [-1.40025853e+01 -1.00183215e+01  2.70249305e+00 ... -1.04448998e-02
   7.99207772e-01 -1.87469808e-01]
 ...
 [-1.40695553e+01 -1.04013700e+01  2.96816137e+00 ...  8.54796439e-01
   4.69056424e-01 -8.04103713e-01]
 [-1.41876631e+01 -1.07646475e+01  2.51207810e+00 ...  1.05256575e-01
   1.73452171e+00  4.73703748e-01]
 [-1.41581358e+01 -1.15169392e+01  4.62654589e-01 ...  9.77841261e-01
   1.54061005e+00  5.60057987e-02]]",0,กระชาย
16,"[ 0.00041199  0.00061035  0.00053406 ... -0.00021362 -0.00030518
 -0.00019836]",22050,"[[-14.03145829  -9.71991818   3.08173069 ...   1.15910892  -0.0307291
   -0.24173196]
 [-13.92907796 -10.25812459   3.61708903 ...   1.72679304  -0.3102346
   -1.24608976]
 [-14.02668891  -9.84696702   2.16644275 ...   1.59036087   0.03553808
   -1.77016194]
 ...
 [-13.7658155  -11.25916505  -0.17583819 ...   0.49092395  -1.16395513
   -0.88158805]
 [-14.02930575 -10.01195733   1.73713347 ...   0.35648009   0.35634696
    0.11143523]
 [-14.07540585 -11.06727828   1.27058586 ...  -0.16344267  -0.35611766
   -0.25381672]]",0,กระชาย
17,"[-1.3732910e-04 -1.8310547e-04 -4.5776367e-05 ...  4.5776367e-05
 -4.5776367e-05  0.0000000e+00]",22050,"[[-13.92782081 -12.38441858   2.07604891 ...   1.32220402  -0.28160207
   -0.88924089]
 [-13.93906073 -10.53235201   1.87672014 ...   0.02600224  -0.7166124
   -1.00523748]
 [-13.87930512 -10.86311537   3.53462401 ...  -0.43170441   0.53554867
   -0.27715409]
 ...
 [-13.95620298 -11.76755631  -0.90629562 ...   1.78887462   0.07485691
    0.27485585]
 [-13.95313371 -12.16033439  -0.57121948 ...   0.46243341  -0.79595802
   -0.06622031]
 [-13.87692402 -11.52588536   1.83437082 ...  -0.32984237  -0.40594675
   -0.39979444]]",0,กระชาย
18,"[-0.00492859 -0.00495911 -0.00489807 ... -0.00012207 -0.00012207
 -0.00010681]",22050,"[[-12.95916947  -4.28158667   6.4558876  ...  -1.80824009  -2.6105798
   -2.83013283]
 [-13.91294364  -6.59515411   6.44351711 ...  -0.96401932  -2.08236071
   -2.14654824]
 [-13.95480005  -9.8748616    3.62825126 ...  -0.60622252  -1.36504244
   -0.7733792 ]
 ...
 [-13.88301695 -10.59656833   3.83155976 ...   0.176823    -0.31598316
    0.81802544]
 [-13.88944353 -11.1266388    4.2354329  ...   0.77334738  -0.25263251
   -0.56200951]
 [-14.04092743  -9.4421483    2.16359594 ...   0.75017299   0.74665088
   -0.08194086]]",0,กระชาย
19,"[-2.5939941e-04 -2.1362305e-04 -2.5939941e-04 ... -7.6293945e-05
 -1.5258789e-04 -3.0517578e-04]",22050,"[[-1.38875723e+01 -1.15093640e+01  4.78809273e-04 ...  1.27168082e+00
   1.04979547e+00  7.03255673e-01]
 [-1.38577083e+01 -1.17541467e+01 -2.97143472e-01 ...  1.10368303e+00
   7.91714074e-01  9.17356417e-01]
 [-1.38817339e+01 -1.27782563e+01 -1.85856473e+00 ...  7.81858884e-01
  -2.66402530e-01 -4.86309904e-01]
 ...
 [-1.38333092e+01 -1.31804327e+01  9.96343913e-01 ...  1.98305359e+00
   9.76506994e-01 -5.15620746e-01]
 [-1.38281734e+01 -1.21236283e+01  6.82450612e-01 ...  3.85733432e-01
   1.42599462e-01 -3.63592484e-01]
 [-1.37653617e+01 -1.28144032e+01 -1.69140751e+00 ...  1.21553933e+00
   8.78610205e-01  7.94250090e-01]]",0,กระชาย
20,"[-0.00012207 -0.00013733 -0.00012207 ... -0.00024414 -0.00024414
 -0.00022888]",22050,"[[-13.87330478  -9.17825602   1.21733135 ...  -0.03924104   0.63791084
    0.42953182]
 [-13.90829337 -10.06400098  -0.73150152 ...  -0.42977281   0.07004384
    0.58515038]
 [-13.86928895 -10.89341242  -0.77678147 ...  -0.16164158   0.13176794
   -0.49641316]
 ...
 [-13.97829404  -8.97929181   0.80847248 ...   0.20605111  -0.6672148
    0.33913942]
 [-13.98229506  -8.65219712   2.28141262 ...   0.16109629  -0.65092367
    0.03507075]
 [-13.9336904   -9.54568624   1.67879435 ...   0.27632118   0.16269591
   -0.27503847]]",1,กระท้อน
21,"[-1.5258789e-05 -1.5258789e-05  1.5258789e-05 ... -2.5939941e-04
 -1.9836426e-04 -2.7465820e-04]",22050,"[[-14.00347086  -9.65876084   1.23933401 ...  -0.40102968  -0.06732343
    0.17362259]
 [-14.15170974  -9.51111273   3.05409031 ...  -0.58090968  -0.4333953
   -0.67195201]
 [-14.06782264  -9.39614465   2.43301256 ...  -0.33121676  -0.94481696
   -1.00979272]
 ...
 [-13.82208747  -9.35458369   1.36878749 ...  -0.55409786  -0.47005919
   -0.23583973]
 [-13.93539747  -8.8539198    1.03599698 ...  -1.26399051  -0.80559457
   -0.91339132]
 [-14.1362501   -8.35750737   1.18545463 ...  -1.5446209   -0.44284199
   -0.12819345]]",1,กระท้อน
22,"[-4.5776367e-05 -1.5258789e-05  1.5258789e-05 ... -1.8310547e-04
 -3.0517578e-04 -1.6784668e-04]",22050,"[[-13.78186229 -10.74976555   1.67534574 ...   0.06444145   1.13278599
    0.32579177]
 [-13.73291986 -11.90304631   1.14737284 ...   1.06377125   0.06937841
   -0.21578521]
 [-13.99205568 -11.13804015   1.39187221 ...   0.39871544  -0.08262256
    0.68691497]
 ...
 [-13.90152597 -10.94978856   3.50426977 ...   0.45413235   0.21860882
    0.58771699]
 [-14.00100034 -10.68833331   2.28021415 ...   0.30327885   0.08702791
    0.09065747]
 [-14.11692127 -10.31837718   2.65560588 ...   0.07077774   0.07746145
    0.02948715]]",1,กระท้อน
23,"[-9.1552734e-05 -1.8310547e-04 -1.6784668e-04 ...  4.5776367e-05
 -6.1035156e-05  1.5258789e-05]",22050,"[[-13.85132853  -9.46233636   1.63059485 ...   1.15211048   0.21678865
   -0.11491907]
 [-14.02759373  -9.17528489   1.56614214 ...  -0.71020234  -0.04713394
   -0.37823979]
 [-14.17302604  -9.15065016   0.60650039 ...   1.01612366   0.49126563
    0.19480399]
 ...
 [-13.87403467 -10.20237596   2.57545723 ...   0.44489714  -0.36871954
   -1.94130461]
 [-13.97779137  -9.95361509   3.64648621 ...  -0.53791205  -0.47589439
    0.41297472]
 [-14.07173382 -10.1415509    3.13354039 ...  -0.84782443  -0.03043316
    0.15323718]]",1,กระท้อน
24,"[ 0.0000000e+00 -1.5258789e-05  3.0517578e-05 ... -2.2888184e-04
 -2.5939941e-04 -2.5939941e-04]",22050,"[[-1.38817975e+01 -9.13027750e+00  6.26542756e-01 ...  5.07829701e-01
  -2.69103114e-01 -4.15075085e-02]
 [-1.40249940e+01 -8.68817709e+00  1.51864315e+00 ...  8.53637103e-01
   4.11768218e-01  3.09403256e-03]
 [-1.39790556e+01 -9.24668535e+00  1.17485280e+00 ...  5.80697239e-02
   1.86467269e-01 -2.75105442e-01]
 ...
 [-1.40378512e+01 -9.06249151e+00  1.05377504e+00 ... -3.91391997e-01
   1.99489959e+00  1.70055649e+00]
 [-1.39681212e+01 -8.79750592e+00  3.11068716e+00 ... -3.22374281e-01
   5.24601004e-01  1.56590284e-01]
 [-1.41866672e+01 -8.63380863e+00  2.81698484e+00 ... -9.35575471e-01
  -6.97198605e-01 -1.21018758e+00]]",1,กระท้อน
25,"[-2.4414062e-04 -1.9836426e-04 -7.6293945e-05 ... -2.2888184e-04
 -2.2888184e-04 -3.2043457e-04]",22050,"[[-1.40792591e+01 -9.87843509e+00  8.33289823e-01 ...  6.48676038e-02
  -5.20441931e-01  6.77412208e-01]
 [-1.39897350e+01 -1.02122410e+01  1.08587669e+00 ... -5.70642609e-03
  -1.36357867e+00 -1.06047598e+00]
 [-1.39038271e+01 -8.82112113e+00  3.90368718e+00 ...  2.54192815e-01
  -6.72547057e-01 -5.04494850e-01]
 ...
 [-1.38044205e+01 -9.21431292e+00  2.37164283e+00 ... -4.61949740e-01
   4.81194338e-01 -2.88468293e-02]
 [-1.39040896e+01 -8.79946431e+00  1.45578577e+00 ... -2.63382186e-01
   2.27229586e-01 -4.88663493e-01]
 [-1.39849602e+01 -8.93211464e+00  1.04134111e+00 ...  5.65488631e-02
  -3.85625209e-01 -9.02337722e-01]]",1,กระท้อน
26,"[-2.4414062e-04 -2.5939941e-04 -2.2888184e-04 ... -1.0681152e-04
 -1.5258789e-04 -9.1552734e-05]",22050,"[[-13.63622418 -13.79933567  -0.26121166 ...   0.54736181  -0.37260772
    0.36894686]
 [-14.00208641 -13.0030776    0.64247831 ...   1.02949531  -0.31099432
   -0.275923  ]
 [-14.02240597 -11.38292371   2.80758492 ...  -0.3556029    0.65649441
    0.31416789]
 ...
 [-13.75906704 -10.38388552  -0.07032362 ...  -1.17524467  -1.24457219
    0.02792228]
 [-13.62253918  -9.09482905   0.44031825 ...  -0.7613958   -1.14978783
    0.12280798]
 [-13.91411526 -10.1530741   -0.43703297 ...   0.68682727  -0.16199752
   -0.96600045]]",1,กระท้อน
27,"[-1.2207031e-04 -1.3732910e-04 -1.0681152e-04 ...  1.5258789e-05
 -4.5776367e-05  4.5776367e-05]",22050,"[[-1.39208128e+01 -1.14788445e+01  2.52733996e-01 ...  2.11216637e-01
  -6.92288461e-01 -2.13633965e-01]
 [-1.39590573e+01 -1.16601342e+01  5.97683346e-01 ...  7.39688615e-01
  -1.61426703e-03  6.86063228e-01]
 [-1.38441333e+01 -1.11423868e+01  2.02293689e+00 ...  4.61609126e-01
   8.70123432e-01  1.26178047e+00]
 ...
 [-1.39137605e+01 -9.28873572e+00  1.51323861e+00 ...  3.83891210e-01
   4.83030779e-01 -1.20655628e-01]
 [-1.38718439e+01 -9.37944969e+00  2.06723378e-01 ...  8.90167925e-01
   4.29801288e-01  7.65131959e-01]
 [-1.42165581e+01 -9.26411892e+00  7.42864597e-01 ...  3.30645573e-02
   4.04808475e-01  7.80220545e-01]]",1,กระท้อน
28,"[ 0.0000000e+00 -1.5258789e-05 -1.5258789e-05 ... -2.4414062e-04
 -2.4414062e-04 -2.4414062e-04]",22050,"[[-13.8109518  -11.22641167   0.37908064 ...  -0.56607502  -0.29992535
   -0.75348072]
 [-13.92263067 -11.67291441  -2.00954505 ...  -0.04177734  -1.03783794
   -1.14724812]
 [-13.97790413 -10.9575313   -0.4957997  ...   0.61952548  -1.04303376
   -0.77013975]
 ...
 [-14.30057048  -8.33559831   0.95663679 ...  -0.96304713  -0.60695885
   -0.48498915]
 [-14.025119    -8.40465914  -1.3054028  ...   0.22060217   0.08042668
    0.48964044]
 [-13.96974805  -9.16292162   1.12775275 ...  -0.02332052   0.47251388
    0.30410545]]",1,กระท้อน
29,"[-2.4414062e-04 -2.5939941e-04 -2.2888184e-04 ... -9.1552734e-05
 -2.1362305e-04 -6.1035156e-05]",22050,"[[-1.37088146e+01 -1.28712878e+01  1.86281501e+00 ...  1.13587476e+00
   5.42680824e-01  9.24682919e-02]
 [-1.38321801e+01 -1.34145704e+01  1.18988477e+00 ...  2.49188520e+00
   8.39142319e-01  7.05348133e-01]
 [-1.41677344e+01 -1.24673261e+01  1.57521094e+00 ...  1.10529260e+00
   3.65944184e-01 -2.27303407e-03]
 ...
 [-1.42002332e+01 -9.08724297e+00 -3.10173934e-01 ... -3.00693037e-01
   2.18826384e-02 -9.68866686e-01]
 [-1.41827545e+01 -9.46771395e+00 -1.55682203e+00 ... -1.17933203e+00
  -7.01117109e-01  7.07447474e-01]
 [-1.38843865e+01 -9.99702488e+00  3.21151269e-01 ... -3.44332746e-01
   5.10913664e-01  2.82824009e-01]]",1,กระท้อน
30,"[-3.0517578e-05  3.0517578e-05 -6.1035156e-05 ... -2.4414062e-04
 -9.1552734e-05 -2.7465820e-04]",22050,"[[-1.36653580e+01 -1.21869849e+01  1.69632398e+00 ... -3.94367721e-01
  -4.72173355e-01 -2.79060551e-01]
 [-1.40918996e+01 -1.08631250e+01  1.19351691e+00 ... -4.23691924e-01
  -3.81310737e-01 -3.87127553e-01]
 [-1.42091637e+01 -9.97345336e+00  2.29296993e+00 ... -1.93070379e+00
  -7.01449900e-01 -1.30804344e+00]
 ...
 [-1.40308063e+01 -8.77453319e+00  2.08432345e+00 ... -2.83801580e-01
   1.91640215e-01 -8.06857293e-01]
 [-1.41886280e+01 -8.49858967e+00  8.45923397e-01 ... -1.59700079e-01
  -1.41714462e-02  3.79972446e-01]
 [-1.42032720e+01 -1.01423067e+01  4.92378074e-01 ... -3.19227024e-01
  -1.45550335e+00 -1.48784256e+00]]",1,กระท้อน
31,"[-2.4414062e-04 -1.5258789e-04 -1.8310547e-04 ...  0.0000000e+00
  0.0000000e+00 -4.5776367e-05]",22050,"[[-1.39749605e+01 -1.23391658e+01  2.10526697e+00 ...  2.83580133e-01
  -2.93534676e-01 -8.21184279e-01]
 [-1.42083540e+01 -1.03581108e+01  3.20153547e+00 ...  9.43967706e-01
   8.65851697e-02 -6.58997146e-01]
 [-1.39721303e+01 -9.73978065e+00  1.42613398e+00 ...  1.52666020e+00
  -1.16192193e-01  6.85118712e-01]
 ...
 [-1.41805224e+01 -1.17071376e+01  2.90877148e+00 ... -4.35472406e-01
   1.85688048e-03 -5.08831351e-01]
 [-1.39347899e+01 -1.13678762e+01  3.97204719e+00 ...  1.25754477e+00
   8.42962885e-01  1.22804302e+00]
 [-1.42261308e+01 -1.05963437e+01  4.19434234e+00 ...  3.68454942e-01
   2.87663407e-01  1.44663708e-01]]",1,กระท้อน
32,"[-1.0681152e-04 -7.6293945e-05 -3.0517578e-05 ... -3.0517578e-04
 -1.8310547e-04 -2.8991699e-04]",22050,"[[-14.03577101  -9.13509422   4.66316158 ...   0.91424625   0.76236529
   -0.23209963]
 [-13.94437703  -9.86030051   1.3654835  ...  -0.18287933   0.33563583
   -0.21753542]
 [-14.17949437  -8.6568687    1.64055941 ...  -0.33312226  -0.19435366
   -0.99066404]
 ...
 [-13.8179641  -11.03315688   3.0794428  ...  -0.32347684  -0.95000228
   -0.48687091]
 [-14.10331657 -11.04956409   3.98289151 ...   0.60758428  -0.58762068
   -0.41665731]
 [-13.99730563 -10.54058185   3.68574898 ...  -0.86442516  -0.64203918
   -0.70280941]]",1,กระท้อน
